"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "Shell Script", "PowerShell", "Markdown", "XML", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\AbstractSvgTag.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 13, 101
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\AbstractTag.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 17, 114
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Address.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\B.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 39
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Big.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 40
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Bookmark.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 57
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Cite.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Del.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Em.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Font.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\I.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 39
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Ins.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\src\Tag\Html\Label.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
